raceKey	fips	candidateID	winner	voteCount	precinctsReportingPct	eevp	numRunoff
SGAs	13155	22251		0	0	1	
SGAs	13155	22243		0	0	1	
SGAs	13157	22251		0	0	1	
SGAs	13157	22243		0	0	1	
SGAs	13159	22251		0	0	1	
SGAs	13159	22243		0	0	1	
SGAs	13161	22251		0	0	1	
SGAs	13161	22243		0	0	1	
SGAs	13163	22251		0	0	1	
SGAs	13163	22243		0	0	1	
SGAs	13165	22251		0	0	1	
SGAs	13165	22243		0	0	1	
SGAs	13167	22251		0	0	1	
SGAs	13167	22243		0	0	1	
SGAs	13169	22251		0	0	1	
SGAs	13169	22243		0	0	1	
SGAs	13171	22251		0	0	1	
SGAs	13171	22243		0	0	1	
SGAs	13173	22251		0	0	1	
SGAs	13173	22243		0	0	1	
SGAs	13175	22251		0	0	1	
SGAs	13175	22243		0	0	1	
SGAs	13177	22251		0	0	1	
SGAs	13177	22243		0	0	1	
SGAs	13179	22251		0	0	1	
SGAs	13179	22243		0	0	1	
SGAs	13181	22251		0	0	1	
SGAs	13181	22243		0	0	1	
SGAs	13183	22251		0	0	1	
SGAs	13183	22243		0	0	1	
SGAs	13185	22251		0	0	1	
SGAs	13185	22243		0	0	1	
SGAs	13187	22251		0	0	1	
SGAs	13187	22243		0	0	1	
SGAs	13193	22251		0	0	1	
SGAs	13193	22243		0	0	1	
SGAs	13195	22251		0	0	1	
SGAs	13195	22243		0	0	1	
SGAs	13197	22251		0	0	1	
SGAs	13197	22243		0	0	1	
SGAs	13189	22251		0	0	1	
SGAs	13189	22243		0	0	1	
SGAs	13191	22251		0	0	1	
SGAs	13191	22243		0	0	1	
SGAs	13199	22251		0	0	1	
SGAs	13199	22243		0	0	1	
SGAs	13201	22251		0	0	1	
SGAs	13201	22243		0	0	1	
SGAs	13205	22251		0	0	1	
SGAs	13205	22243		0	0	1	
SGAs	13207	22251		0	0	1	
SGAs	13207	22243		0	0	1	
SGAs	13209	22251		0	0	1	
SGAs	13209	22243		0	0	1	
SGAs	13211	22251		0	0	1	
SGAs	13211	22243		0	0	1	
SGAs	13213	22251		0	0	1	
SGAs	13213	22243		0	0	1	
SGAs	13215	22251		0	0	1	
SGAs	13215	22243		0	0	1	
SGAs	13217	22251		0	0	1	
SGAs	13217	22243		0	0	1	
SGAs	13219	22251		0	0	1	
SGAs	13219	22243		0	0	1	
SGAs	13221	22251		0	0	1	
SGAs	13221	22243		0	0	1	
SGAs	13223	22251		0	0	1	
SGAs	13223	22243		0	0	1	
SGAs	13225	22251		0	0	1	
SGAs	13225	22243		0	0	1	
SGAs	13227	22251		0	0	1	
SGAs	13227	22243		0	0	1	
SGAs	13229	22251		0	0	1	
SGAs	13229	22243		0	0	1	
SGAs	13231	22251		0	0	1	
SGAs	13231	22243		0	0	1	
SGAs	13233	22251		0	0	1	
SGAs	13233	22243		0	0	1	
SGAs	13235	22251		0	0	1	
SGAs	13235	22243		0	0	1	
SGAs	13237	22251		0	0	1	
SGAs	13237	22243		0	0	1	
SGAs	13239	22251		0	0	1	
SGAs	13239	22243		0	0	1	
SGAs	13241	22251		0	0	1	
SGAs	13241	22243		0	0	1	
SGAs	13243	22251		0	0	1	
SGAs	13243	22243		0	0	1	
SGAs	13245	22251		0	0	1	
SGAs	13245	22243		0	0	1	
SGAs	13247	22251		0	0	1	
SGAs	13247	22243		0	0	1	
SGAs	13249	22251		0	0	1	
SGAs	13249	22243		0	0	1	
SGAs	13251	22251		0	0	1	
SGAs	13251	22243		0	0	1	
SGAs	13253	22251		0	0	1	
SGAs	13253	22243		0	0	1	
SGAs	13255	22251		0	0	1	
SGAs	13255	22243		0	0	1	
SGAs	13257	22251		0	0	1	
SGAs	13257	22243		0	0	1	
SGAs	13259	22251		0	0	1	
SGAs	13259	22243		0	0	1	
SGAs	13261	22251		0	0	1	
SGAs	13261	22243		0	0	1	
SGAs	13263	22251		0	0	1	
SGAs	13263	22243		0	0	1	
SGAs	13265	22251		0	0	1	
SGAs	13265	22243		0	0	1	
SGAs	13267	22251		0	0	1	
SGAs	13267	22243		0	0	1	
SGAs	13269	22251		0	0	1	
SGAs	13269	22243		0	0	1	
SGAs	13271	22251		0	0	1	
SGAs	13271	22243		0	0	1	
SGAs	13273	22251		0	0	1	
SGAs	13273	22243		0	0	1	
SGAs	13275	22251		0	0	1	
SGAs	13275	22243		0	0	1	
SGAs	13277	22251		0	0	1	
SGAs	13277	22243		0	0	1	
SGAs	13279	22251		0	0	1	
SGAs	13279	22243		0	0	1	
SGAs	13281	22251		0	0	1	
SGAs	13281	22243		0	0	1	
SGAs	13283	22251		0	0	1	
SGAs	13283	22243		0	0	1	
SGAs	13285	22251		0	0	1	
SGAs	13285	22243		0	0	1	
SGAs	13287	22251		0	0	1	
SGAs	13287	22243		0	0	1	
SGAs	13289	22251		0	0	1	
SGAs	13289	22243		0	0	1	
SGAs	13291	22251		0	0	1	
SGAs	13291	22243		0	0	1	
SGAs	13293	22251		0	0	1	
SGAs	13293	22243		0	0	1	
SGAs	13295	22251		0	0	1	
SGAs	13295	22243		0	0	1	
SGAs	13297	22251		0	0	1	
SGAs	13297	22243		0	0	1	
SGAs	13299	22251		0	0	1	
SGAs	13299	22243		0	0	1	
SGAs	13301	22251		0	0	1	
SGAs	13301	22243		0	0	1	
SGAs	13303	22251		0	0	1	
SGAs	13303	22243		0	0	1	
SGAs	13305	22251		0	0	1	
SGAs	13305	22243		0	0	1	
SGAs	13307	22251		0	0	1	
SGAs	13307	22243		0	0	1	
SGAs	13309	22251		0	0	1	
SGAs	13309	22243		0	0	1	
SGAs	13311	22251		0	0	1	
SGAs	13311	22243		0	0	1	
SGAs	13313	22251		0	0	1	
SGAs	13313	22243		0	0	1	
SGAs	13315	22251		0	0	1	
SGAs	13315	22243		0	0	1	
SGAs	13317	22251		0	0	1	
SGAs	13317	22243		0	0	1	
SGAs	13319	22251		0	0	1	
SGAs	13319	22243		0	0	1	
SGAs	13321	22251		0	0	1	
SGAs	13321	22243		0	0	1	
SGA	13001	21798		0	0	1	
SGA	13001	19900		0	0	1	
SGA	13003	21798		0	0	1	
SGA	13003	19900		0	0	1	
SGA	13005	21798		0	0	1	
SGA	13005	19900		0	0	1	
SGA	13007	21798		0	0	1	
SGA	13007	19900		0	0	1	
SGA	13009	21798		0	0	1	
SGA	13009	19900		0	0	1	
SGA	13011	21798		0	0	1	
SGA	13011	19900		0	0	1	
SGA	13013	21798		0	0	1	
SGA	13013	19900		0	0	1	
SGA	13015	21798		0	0	1	
SGA	13015	19900		0	0	1	
SGA	13017	21798		0	0	1	
SGA	13017	19900		0	0	1	
SGA	13019	21798		0	0	1	
SGA	13019	19900		0	0	1	
SGA	13021	21798		0	0	1	
SGA	13021	19900		0	0	1	
SGA	13023	21798		0	0	1	
SGA	13023	19900		0	0	1	
SGA	13025	21798		0	0	1	
SGA	13025	19900		0	0	1	
SGA	13027	21798		0	0	1	
SGA	13027	19900		0	0	1	
SGA	13029	21798		0	0	1	
SGA	13029	19900		0	0	1	
SGA	13031	21798		0	0	1	
SGA	13031	19900		0	0	1	
SGA	13033	21798		536	0	1	
SGA	13033	19900		187	0	1	
SGA	13035	21798		0	0	1	
SGA	13035	19900		0	0	1	
SGA	13037	21798		0	0	1	
SGA	13037	19900		0	0	1	
SGA	13039	21798		0	0	1	
SGA	13039	19900		0	0	1	
SGA	13043	21798		0	0	1	
SGA	13043	19900		0	0	1	
SGA	13045	21798		0	0	1	
SGA	13045	19900		0	0	1	
SGA	13047	21798		0	0	1	
SGA	13047	19900		0	0	1	
SGA	13049	21798		0	0	1	
SGA	13049	19900		0	0	1	
SGA	13051	19900		503	1.09	1	
SGA	13051	21798		193	1.09	1	
SGA	13053	21798		0	0	1	
SGA	13053	19900		0	0	1	
SGA	13055	21798		0	0	1	
SGA	13055	19900		0	0	1	
SGA	13057	21798		0	0	1	
SGA	13057	19900		0	0	1	
SGA	13059	21798		0	0	1	
SGA	13059	19900		0	0	1	
SGA	13061	21798		0	0	1	
SGA	13061	19900		0	0	1	
SGA	13063	21798		0	0	1	
SGA	13063	19900		0	0	1	
SGA	13065	21798		0	0	1	
SGA	13065	19900		0	0	1	
SGA	13067	21798		0	0	1	
SGA	13067	19900		0	0	1	
SGA	13069	21798		0	0	1	
SGA	13069	19900		0	0	1	
SGA	13071	21798		0	0	1	
SGA	13071	19900		0	0	1	
SGA	13073	21798		0	0	1	
SGA	13073	19900		0	0	1	
SGA	13075	21798		0	0	1	
SGA	13075	19900		0	0	1	
SGA	13077	21798		0	0	1	
SGA	13077	19900		0	0	1	
SGA	13079	21798		0	0	1	
SGA	13079	19900		0	0	1	
SGA	13081	21798		0	0	1	
SGA	13081	19900		0	0	1	
SGA	13083	21798		0	0	1	
SGA	13083	19900		0	0	1	
SGA	13085	21798		0	0	1	
SGA	13085	19900		0	0	1	
SGA	13087	21798		0	0	1	
SGA	13087	19900		0	0	1	
SGA	13089	21798		0	0	1	
SGA	13089	19900		0	0	1	
SGA	13091	21798		0	0	1	
SGA	13091	19900		0	0	1	
SGA	13093	21798		0	0	1	
SGA	13093	19900		0	0	1	
SGA	13095	21798		0	0	1	
SGA	13095	19900		0	0	1	
SGA	13097	21798		0	0	1	
SGA	13097	19900		0	0	1	
SGA	13099	21798		599	0	1	
SGA	13099	19900		286	0	1	
SGA	13101	21798		0	0	1	
SGA	13101	19900		0	0	1	
SGA	13103	21798		0	0	1	
SGA	13103	19900		0	0	1	
SGA	13105	21798		0	0	1	
SGA	13105	19900		0	0	1	
SGA	13107	21798		0	0	1	
SGA	13107	19900		0	0	1	
SGA	13109	21798		0	0	1	
SGA	13109	19900		0	0	1	
SGA	13111	21798		0	0	1	
SGA	13111	19900		0	0	1	
SGA	13113	19900		230	2.78	1	
SGA	13113	21798		91	2.78	1	
SGA	13115	21798		0	0	1	
SGA	13115	19900		0	0	1	
SGA	13117	21798		0	0	1	
SGA	13117	19900		0	0	1	
SGA	13119	21798		0	0	1	
SGA	13119	19900		0	0	1	
SGA	13121	21798		0	0	1	
SGA	13121	19900		0	0	1	
SGA	13123	21798		0	0	1	
SGA	13123	19900		0	0	1	
SGA	13125	21798		0	0	1	
SGA	13125	19900		0	0	1	
SGA	13127	21798		0	0	1	
SGA	13127	19900		0	0	1	
SGA	13129	21798		0	0	1	
SGA	13129	19900		0	0	1	
SGA	13131	21798		0	0	1	
SGA	13131	19900		0	0	1	
SGA	13133	21798		0	0	1	
SGA	13133	19900		0	0	1	
SGA	13135	21798		0	0	1	
SGA	13135	19900		0	0	1	
SGA	13137	21798		0	0	1	
SGA	13137	19900		0	0	1	
SGA	13139	21798		0	0	1	
SGA	13139	19900		0	0	1	
SGA	13141	21798		0	0	1	
SGA	13141	19900		0	0	1	
SGA	13143	21798		0	0	1	
SGA	13143	19900		0	0	1	
SGA	13145	21798		0	0	1	
SGA	13145	19900		0	0	1	
SGA	13147	21798		0	0	1	
SGA	13147	19900		0	0	1	
SGA	13149	21798		0	0	1	
SGA	13149	19900		0	0	1	
SGA	13151	21798		0	0	1	
SGA	13151	19900		0	0	1	
SGA	13153	21798		0	0	1	
SGA	13153	19900		0	0	1	
SGA	13155	21798		0	0	1	
SGA	13155	19900		0	0	1	
SGA	13157	21798		0	0	1	
SGA	13157	19900		0	0	1	
SGA	13159	21798		0	0	1	
SGA	13159	19900		0	0	1	
SGA	13161	21798		0	0	1	
SGA	13161	19900		0	0	1	
SGA	13163	21798		0	0	1	
SGA	13163	19900		0	0	1	
SGA	13165	21798		0	0	1	
SGA	13165	19900		0	0	1	
SGA	13167	21798		0	0	1	
SGA	13167	19900		0	0	1	
SGA	13169	21798		0	0	1	
SGA	13169	19900		0	0	1	
SGA	13171	21798		0	0	1	
SGA	13171	19900		0	0	1	
SGA	13173	21798		0	0	1	
SGA	13173	19900		0	0	1	
SGA	13175	21798		0	0	1	
SGA	13175	19900		0	0	1	
SGA	13177	21798		0	0	1	
SGA	13177	19900		0	0	1	
SGA	13179	21798		0	0	1	
SGA	13179	19900		0	0	1	
SGA	13181	21798		0	0	1	
SGA	13181	19900		0	0	1	
SGA	13183	21798		0	0	1	
SGA	13183	19900		0	0	1	
SGA	13185	21798		0	0	1	
SGA	13185	19900		0	0	1	
SGA	13187	21798		0	0	1	
SGA	13187	19900		0	0	1	
SGA	13193	21798		0	0	1	
SGA	13193	19900		0	0	1	
SGA	13195	21798		0	0	1	
SGA	13195	19900		0	0	1	
SGA	13197	21798		0	0	1	
SGA	13197	19900		0	0	1	
SGA	13189	21798		0	0	1	
SGA	13189	19900		0	0	1	
SGA	13191	21798		0	0	1	
SGA	13191	19900		0	0	1	
SGA	13199	21798		0	0	1	
SGA	13199	19900		0	0	1	
SGA	13201	21798		0	0	1	
SGA	13201	19900		0	0	1	
SGA	13205	21798		0	0	1	
SGA	13205	19900		0	0	1	
SGA	13207	21798		0	0	1	
SGA	13207	19900		0	0	1	
SGA	13209	21798		0	0	1	
SGA	13209	19900		0	0	1	
SGA	13211	21798		0	0	1	
SGA	13211	19900		0	0	1	
SGA	13213	21798		0	0	1	
SGA	13213	19900		0	0	1	
SGA	13215	21798		0	0	1	
SGA	13215	19900		0	0	1	
SGA	13217	21798		0	0	1	
SGA	13217	19900		0	0	1	
SGA	13219	21798		0	0	1	
SGA	13219	19900		0	0	1	
SGA	13221	21798		0	0	1	
SGA	13221	19900		0	0	1	
SGA	13223	21798		0	0	1	
SGA	13223	19900		0	0	1	
SGA	13225	21798		0	0	1	
SGA	13225	19900		0	0	1	
SGA	13227	21798		0	0	1	
SGA	13227	19900		0	0	1	
SGA	13229	21798		0	0	1	
SGA	13229	19900		0	0	1	
SGA	13231	21798		0	0	1	
SGA	13231	19900		0	0	1	
SGA	13233	21798		0	0	1	
SGA	13233	19900		0	0	1	
SGA	13235	21798		0	0	1	
SGA	13235	19900		0	0	1	
SGA	13237	21798		0	0	1	
SGA	13237	19900		0	0	1	
SGA	13239	21798		0	0	1	
SGA	13239	19900		0	0	1	
SGA	13241	21798		0	0	1	
SGA	13241	19900		0	0	1	
SGA	13243	21798		0	0	1	
SGA	13243	19900		0	0	1	
SGA	13245	21798		0	0	1	
SGA	13245	19900		0	0	1	
SGA	13247	21798		0	0	1	
SGA	13247	19900		0	0	1	
SGA	13249	21798		0	0	1	
SGA	13249	19900		0	0	1	
SGA	13251	21798		0	0	1	
SGA	13251	19900		0	0	1	
SGA	13253	21798		0	0	1	
SGA	13253	19900		0	0	1	
SGA	13255	21798		0	0	1	
SGA	13255	19900		0	0	1	
SGA	13257	21798		0	0	1	
SGA	13257	19900		0	0	1	
SGA	13259	21798		0	0	1	
SGA	13259	19900		0	0	1	
SGA	13261	21798		0	0	1	
SGA	13261	19900		0	0	1	
SGA	13263	21798		0	0	1	
SGA	13263	19900		0	0	1	
SGA	13265	21798		0	0	1	
SGA	13265	19900		0	0	1	
SGA	13267	21798		0	0	1	
SGA	13267	19900		0	0	1	
SGA	13269	21798		0	0	1	
SGA	13269	19900		0	0	1	
SGA	13271	21798		0	0	1	
SGA	13271	19900		0	0	1	
SGA	13273	21798		0	0	1	
SGA	13273	19900		0	0	1	
